No,Tanggal,Sopir,Plat Nomor,Order,Volume (L),Pemasukan,Pengeluaran,Jenis Transaksi,Jumlah,Keterangan
37.0,2024-06-12,Pak Budi,H 3333 CC,Perbaikan Ban,8400.0,0.0,162461.0,Pengeluaran,-162461.0,Biaya perbaikan ban
38.0,2024-06-12,Pak Budi,H 1234 CD,Warung Lesehan Berkah,8000.0,352300.0,0.0,Pemasukan,352300.0,Pembayaran lunas
39.0,2024-06-13,Pak Joko,H 1234 CD,Depot Air Sehat,6000.0,297741.0,0.0,Pemasukan,297741.0,Pembayaran lunas
40.0,2024-06-13,Pak Hendra,H 5678 XY,Servis Mesin,8400.0,0.0,75988.0,Pengeluaran,-75988.0,Biaya servis mesin
41.0,2024-06-13,Pak Dedi,H 1234 CD,Ganti Oli,8400.0,0.0,184622.0,Pengeluaran,-184622.0,Biaya ganti oli
42.0,2024-06-13,Pak Hendra,H 5678 XY,Servis Mesin,8400.0,0.0,236166.0,Pengeluaran,-236166.0,Biaya servis mesin
43.0,2024-06-14,Pak Slamet,H 1234 CD,Warung Makan Sari Rasa,6000.0,376745.0,0.0,Pemasukan,376745.0,Pembayaran lunas
44.0,2024-06-14,Pak Rudi,H 1111 AA,Toko Sumber Rejeki,6000.0,286098.0,0.0,Pemasukan,286098.0,Pembayaran lunas
45.0,2024-06-14,Pak Joko,H 5678 XY,Warung Bu Darmi,8000.0,337864.0,0.0,Pemasukan,337864.0,Pembayaran lunas
46.0,2024-06-15,Pak Budi,H 1111 AA,Warung Bu Darmi,6000.0,315407.0,0.0,Pemasukan,315407.0,Pembayaran lunas
47.0,2024-06-15,Pak Slamet,H 2222 BB,Toko Sumber Rejeki,10000.0,351222.0,0.0,Pemasukan,351222.0,Pembayaran lunas
48.0,2024-06-16,Pak Andi,H 2222 BB,Cuci Truk,8400.0,0.0,65431.0,Pengeluaran,-65431.0,Biaya cuci truk
49.0,2024-06-16,Pak Rudi,H 4444 DD,Depot Air Segar,10000.0,340944.0,0.0,Pemasukan,340944.0,Pembayaran lunas
50.0,2024-06-17,Pak Eko,H 3333 CC,Depot Air Segar,8000.0,302003.0,0.0,Pemasukan,302003.0,Pembayaran lunas
51.0,2024-06-17,Pak Hendra,H 1234 CD,Cuci Truk,8400.0,0.0,167999.0,Pengeluaran,-167999.0,Biaya cuci truk
52.0,2024-06-18,Pak Hendra,H 2222 BB,Cuci Truk,8400.0,0.0,237437.0,Pengeluaran,-237437.0,Biaya cuci truk
53.0,2024-06-18,Pak Andi,H 1111 AA,Depot Air Segar,10000.0,318178.0,0.0,Pemasukan,318178.0,Pembayaran lunas
54.0,2024-06-19,Pak Eko,H 1234 CD,Depot Air Segar,10000.0,346851.0,0.0,Pemasukan,346851.0,Pembayaran lunas
55.0,2024-06-19,Pak Dedi,H 1234 CD,Ganti Oli,8400.0,0.0,173400.0,Pengeluaran,-173400.0,Biaya ganti oli
56.0,2024-06-19,Pak Andi,H 4444 DD,Toko Maju Jaya,10000.0,300299.0,0.0,Pemasukan,300299.0,Pembayaran lunas
57.0,2024-06-20,Pak Slamet,H 2222 BB,Perbaikan Ban,8400.0,0.0,118819.0,Pengeluaran,-118819.0,Biaya perbaikan ban
58.0,2024-06-20,Pak Hendra,H 1234 CD,Warung Bu Darmi,6000.0,358646.0,0.0,Pemasukan,358646.0,Pembayaran lunas
59.0,2024-06-21,Pak Slamet,H 4444 DD,Depot Tirta Jaya,8000.0,390317.0,0.0,Pemasukan,390317.0,Pembayaran lunas
60.0,2024-06-21,Pak Joko,H 4444 DD,Warung Lesehan Berkah,10000.0,331845.0,0.0,Pemasukan,331845.0,Pembayaran lunas
61.0,2024-06-21,Pak Joko,H 5678 XY,Depot Air Segar,10000.0,301758.0,0.0,Pemasukan,301758.0,Pembayaran lunas
62.0,2024-06-21,Pak Andi,H 3333 CC,Toko Maju Jaya,8000.0,398469.0,0.0,Pemasukan,398469.0,Pembayaran lunas
63.0,2024-06-22,Pak Joko,H 2222 BB,Toko Maju Jaya,6000.0,285798.0,0.0,Pemasukan,285798.0,Pembayaran lunas
64.0,2024-06-22,Pak Andi,H 5678 XY,Warung Lesehan Berkah,8000.0,328776.0,0.0,Pemasukan,328776.0,Pembayaran lunas
65.0,2024-06-22,Pak Andi,H 5678 XY,Isi Solar,8400.0,0.0,57638.0,Pengeluaran,-57638.0,Biaya isi solar
66.0,2024-06-23,Pak Andi,H 1111 AA,Toko Maju Jaya,6000.0,299474.0,0.0,Pemasukan,299474.0,Pembayaran lunas
67.0,2024-06-23,Pak Dedi,H 4444 DD,Toko Sumber Rejeki,10000.0,363959.0,0.0,Pemasukan,363959.0,Pembayaran lunas
68.0,2024-06-23,Pak Rudi,H 4444 DD,Cuci Truk,8400.0,0.0,104583.0,Pengeluaran,-104583.0,Biaya cuci truk
69.0,2024-06-23,Pak Joko,H 3333 CC,Warung Lesehan Berkah,8000.0,331661.0,0.0,Pemasukan,331661.0,Pembayaran lunas
70.0,2024-06-24,Pak Eko,H 5678 XY,Toko Maju Jaya,10000.0,345349.0,0.0,Pemasukan,345349.0,Pembayaran lunas
71.0,2024-06-24,Pak Slamet,H 2222 BB,Ganti Oli,8400.0,0.0,239975.0,Pengeluaran,-239975.0,Biaya ganti oli
72.0,2024-06-24,Pak Budi,H 4444 DD,Depot Tirta Jaya,8000.0,346358.0,0.0,Pemasukan,346358.0,Pembayaran lunas
73.0,2024-06-25,Pak Eko,H 2222 BB,Depot Air Segar,10000.0,308784.0,0.0,Pemasukan,308784.0,Pembayaran lunas
74.0,2024-06-25,Pak Joko,H 2222 BB,Perbaikan Ban,8400.0,0.0,60398.0,Pengeluaran,-60398.0,Biaya perbaikan ban
75.0,2024-06-26,Pak Eko,H 1234 CD,Servis Mesin,8400.0,0.0,248252.0,Pengeluaran,-248252.0,Biaya servis mesin
76.0,2024-06-26,Pak Hendra,H 1234 CD,Servis Mesin,8400.0,0.0,177958.0,Pengeluaran,-177958.0,Biaya servis mesin
77.0,2024-06-26,Pak Hendra,H 1111 AA,Depot Air Sehat,8000.0,391036.0,0.0,Pemasukan,391036.0,Pembayaran lunas
78.0,2024-06-27,Pak Eko,H 1111 AA,Toko Maju Jaya,6000.0,328510.0,0.0,Pemasukan,328510.0,Pembayaran lunas
79.0,2024-06-27,Pak Hendra,H 5678 XY,Isi Solar,8400.0,0.0,182972.0,Pengeluaran,-182972.0,Biaya isi solar
80.0,2024-06-27,Pak Rudi,H 4444 DD,Depot Air Segar,10000.0,343556.0,0.0,Pemasukan,343556.0,Pembayaran lunas
81.0,2024-06-27,Pak Budi,H 1234 CD,Warung Makan Sari Rasa,8000.0,288889.0,0.0,Pemasukan,288889.0,Pembayaran lunas
82.0,2024-06-28,Pak Slamet,H 1111 AA,Depot Air Segar,6000.0,391826.0,0.0,Pemasukan,391826.0,Pembayaran lunas
83.0,2024-06-28,Pak Hendra,H 2222 BB,Toko Sumber Rejeki,8000.0,322229.0,0.0,Pemasukan,322229.0,Pembayaran lunas
84.0,2024-06-28,Pak Slamet,H 5678 XY,Warung Lesehan Berkah,10000.0,330968.0,0.0,Pemasukan,330968.0,Pembayaran lunas
85.0,2024-06-28,Pak Slamet,H 3333 CC,Ganti Oli,8400.0,0.0,228092.0,Pengeluaran,-228092.0,Biaya ganti oli
86.0,2024-06-29,Pak Eko,H 4444 DD,Toko Sumber Rejeki,10000.0,347487.0,0.0,Pemasukan,347487.0,Pembayaran lunas
87.0,2024-06-29,Pak Dedi,H 2222 BB,Toko Sumber Rejeki,10000.0,301136.0,0.0,Pemasukan,301136.0,Pembayaran lunas
88.0,2024-06-29,Pak Eko,H 5678 XY,Depot Air Sehat,6000.0,355651.0,0.0,Pemasukan,355651.0,Pembayaran lunas
89.0,2024-06-29,Pak Andi,H 2222 BB,Toko Sumber Rejeki,6000.0,324242.0,0.0,Pemasukan,324242.0,Pembayaran lunas
90.0,2024-06-30,Pak Budi,H 3333 CC,Toko Sumber Rejeki,10000.0,352184.0,0.0,Pemasukan,352184.0,Pembayaran lunas
91.0,2024-06-30,Pak Eko,H 5678 XY,Warung Makan Sari Rasa,6000.0,370385.0,0.0,Pemasukan,370385.0,Pembayaran lunas
92.0,2024-06-30,Pak Rudi,H 1111 AA,Perbaikan Ban,8400.0,0.0,107817.0,Pengeluaran,-107817.0,Biaya perbaikan ban
93.0,2024-06-30,Pak Dedi,H 1111 AA,Depot Air Segar,6000.0,304351.0,0.0,Pemasukan,304351.0,Pembayaran lunas
94.0,2024-07-01,Pak Slamet,H 3333 CC,Warung Makan Sari Rasa,8000.0,356858.0,0.0,Pemasukan,356858.0,Pembayaran lunas
95.0,2024-07-01,Pak Rudi,H 3333 CC,Depot Tirta Jaya,8000.0,328762.0,0.0,Pemasukan,328762.0,Pembayaran lunas
96.0,2024-07-01,Pak Eko,H 1111 AA,Isi Solar,8400.0,0.0,122931.0,Pengeluaran,-122931.0,Biaya isi solar
97.0,2024-07-02,Pak Andi,H 5678 XY,Depot Air Segar,10000.0,382708.0,0.0,Pemasukan,382708.0,Pembayaran lunas
98.0,2024-07-02,Pak Eko,H 4444 DD,Perbaikan Ban,8400.0,0.0,181177.0,Pengeluaran,-181177.0,Biaya perbaikan ban
99.0,2024-07-02,Pak Rudi,H 3333 CC,Toko Maju Jaya,6000.0,349073.0,0.0,Pemasukan,349073.0,Pembayaran lunas
100.0,2024-07-03,Pak Budi,H 1234 CD,Depot Air Segar,10000.0,307224.0,0.0,Pemasukan,307224.0,Pembayaran lunas
101.0,2024-07-03,Pak Dedi,H 4444 DD,Depot Air Segar,10000.0,322942.0,0.0,Pemasukan,322942.0,Pembayaran lunas
102.0,2024-07-04,Pak Eko,H 1234 CD,Depot Air Segar,8000.0,332165.0,0.0,Pemasukan,332165.0,Pembayaran lunas
103.0,2024-07-04,Pak Joko,H 3333 CC,Perbaikan Ban,8400.0,0.0,140759.0,Pengeluaran,-140759.0,Biaya perbaikan ban
104.0,2024-07-04,Pak Joko,H 3333 CC,Ganti Oli,8400.0,0.0,99908.0,Pengeluaran,-99908.0,Biaya ganti oli
105.0,2024-07-04,Pak Slamet,H 2222 BB,Warung Bu Darmi,8000.0,363933.0,0.0,Pemasukan,363933.0,Pembayaran lunas
106.0,2024-07-05,Pak Dedi,H 4444 DD,Ganti Oli,8400.0,0.0,141685.0,Pengeluaran,-141685.0,Biaya ganti oli
107.0,2024-07-05,Pak Andi,H 1234 CD,Perbaikan Ban,8400.0,0.0,80056.0,Pengeluaran,-80056.0,Biaya perbaikan ban
108.0,2024-07-05,Pak Dedi,H 5678 XY,Warung Lesehan Berkah,8000.0,293945.0,0.0,Pemasukan,293945.0,Pembayaran lunas
109.0,2024-07-05,Pak Rudi,H 2222 BB,Warung Bu Darmi,8000.0,349554.0,0.0,Pemasukan,349554.0,Pembayaran lunas
110.0,2024-07-06,Pak Eko,H 1111 AA,Toko Maju Jaya,8000.0,333788.0,0.0,Pemasukan,333788.0,Pembayaran lunas
111.0,2024-07-06,Pak Eko,H 1234 CD,Depot Air Segar,6000.0,379376.0,0.0,Pemasukan,379376.0,Pembayaran lunas
112.0,2024-07-06,Pak Hendra,H 1234 CD,Depot Tirta Jaya,10000.0,326817.0,0.0,Pemasukan,326817.0,Pembayaran lunas
113.0,2024-07-07,Pak Hendra,H 2222 BB,Cuci Truk,8400.0,0.0,107092.0,Pengeluaran,-107092.0,Biaya cuci truk
114.0,2024-07-07,Pak Dedi,H 1234 CD,Toko Maju Jaya,6000.0,397413.0,0.0,Pemasukan,397413.0,Pembayaran lunas
115.0,2024-07-07,Pak Rudi,H 3333 CC,Toko Sumber Rejeki,8000.0,398103.0,0.0,Pemasukan,398103.0,Pembayaran lunas
116.0,2024-07-07,Pak Andi,H 4444 DD,Toko Maju Jaya,10000.0,347934.0,0.0,Pemasukan,347934.0,Pembayaran lunas
117.0,2024-07-08,Pak Hendra,H 1111 AA,Toko Maju Jaya,8000.0,295232.0,0.0,Pemasukan,295232.0,Pembayaran lunas
118.0,2024-07-08,Pak Joko,H 5678 XY,Depot Air Sehat,6000.0,317227.0,0.0,Pemasukan,317227.0,Pembayaran lunas
119.0,2024-07-08,Pak Andi,H 1111 AA,Depot Tirta Jaya,10000.0,323694.0,0.0,Pemasukan,323694.0,Pembayaran lunas
120.0,2024-07-09,Pak Joko,H 1111 AA,Warung Lesehan Berkah,8000.0,390643.0,0.0,Pemasukan,390643.0,Pembayaran lunas
121.0,2024-07-09,Pak Andi,H 2222 BB,Isi Solar,8400.0,0.0,62606.0,Pengeluaran,-62606.0,Biaya isi solar
122.0,2024-07-09,Pak Andi,H 5678 XY,Cuci Truk,8400.0,0.0,108718.0,Pengeluaran,-108718.0,Biaya cuci truk
123.0,2024-07-10,Pak Budi,H 4444 DD,Warung Bu Darmi,6000.0,394562.0,0.0,Pemasukan,394562.0,Pembayaran lunas
124.0,2024-07-10,Pak Rudi,H 4444 DD,Toko Maju Jaya,10000.0,377637.0,0.0,Pemasukan,377637.0,Pembayaran lunas
125.0,2024-07-11,Pak Slamet,H 2222 BB,Isi Solar,8400.0,0.0,169038.0,Pengeluaran,-169038.0,Biaya isi solar
126.0,2024-07-11,Pak Joko,H 4444 DD,Isi Solar,8400.0,0.0,87888.0,Pengeluaran,-87888.0,Biaya isi solar
127.0,2024-07-12,Pak Joko,H 1234 CD,Isi Solar,8400.0,0.0,119511.0,Pengeluaran,-119511.0,Biaya isi solar
128.0,2024-07-12,Pak Joko,H 1111 AA,Toko Sumber Rejeki,8000.0,332258.0,0.0,Pemasukan,332258.0,Pembayaran lunas
129.0,2024-07-12,Pak Andi,H 1234 CD,Depot Air Segar,10000.0,324691.0,0.0,Pemasukan,324691.0,Pembayaran lunas
130.0,2024-07-13,Pak Rudi,H 2222 BB,Warung Lesehan Berkah,8000.0,383016.0,0.0,Pemasukan,383016.0,Pembayaran lunas
131.0,2024-07-13,Pak Rudi,H 1111 AA,Servis Mesin,8400.0,0.0,175322.0,Pengeluaran,-175322.0,Biaya servis mesin
132.0,2024-07-13,Pak Rudi,H 1234 CD,Depot Air Sehat,6000.0,309145.0,0.0,Pemasukan,309145.0,Pembayaran lunas
133.0,2024-07-14,Pak Slamet,H 5678 XY,Depot Tirta Jaya,10000.0,298048.0,0.0,Pemasukan,298048.0,Pembayaran lunas
134.0,2024-07-14,Pak Rudi,H 1111 AA,Warung Bu Darmi,8000.0,351693.0,0.0,Pemasukan,351693.0,Pembayaran lunas
135.0,2024-07-14,Pak Hendra,H 3333 CC,Ganti Oli,8400.0,0.0,205108.0,Pengeluaran,-205108.0,Biaya ganti oli
136.0,2024-07-15,Pak Joko,H 3333 CC,Toko Sumber Rejeki,6000.0,355896.0,0.0,Pemasukan,355896.0,Pembayaran lunas
137.0,2024-07-15,Pak Slamet,H 2222 BB,Warung Makan Sari Rasa,8000.0,369603.0,0.0,Pemasukan,369603.0,Pembayaran lunas
138.0,2024-07-15,Pak Andi,H 5678 XY,Depot Air Segar,10000.0,379702.0,0.0,Pemasukan,379702.0,Pembayaran lunas
139.0,2024-07-15,Pak Slamet,H 1234 CD,Ganti Oli,8400.0,0.0,139258.0,Pengeluaran,-139258.0,Biaya ganti oli
140.0,2024-07-16,Pak Eko,H 1111 AA,Perbaikan Ban,8400.0,0.0,139540.0,Pengeluaran,-139540.0,Biaya perbaikan ban
141.0,2024-07-16,Pak Budi,H 5678 XY,Toko Sumber Rejeki,8000.0,310761.0,0.0,Pemasukan,310761.0,Pembayaran lunas
142.0,2024-07-17,Pak Slamet,H 4444 DD,Isi Solar,8400.0,0.0,197827.0,Pengeluaran,-197827.0,Biaya isi solar
143.0,2024-07-17,Pak Joko,H 1234 CD,Warung Lesehan Berkah,6000.0,295114.0,0.0,Pemasukan,295114.0,Pembayaran lunas
144.0,2024-07-18,Pak Eko,H 1234 CD,Toko Sumber Rejeki,10000.0,349934.0,0.0,Pemasukan,349934.0,Pembayaran lunas
145.0,2024-07-18,Pak Dedi,H 3333 CC,Servis Mesin,8400.0,0.0,106810.0,Pengeluaran,-106810.0,Biaya servis mesin
146.0,2024-07-19,Pak Rudi,H 5678 XY,Depot Air Sehat,10000.0,285397.0,0.0,Pemasukan,285397.0,Pembayaran lunas
147.0,2024-07-19,Pak Eko,H 1111 AA,Cuci Truk,8400.0,0.0,67955.0,Pengeluaran,-67955.0,Biaya cuci truk
148.0,2024-07-19,Pak Andi,H 2222 BB,Depot Tirta Jaya,8000.0,384845.0,0.0,Pemasukan,384845.0,Pembayaran lunas
149.0,2024-07-20,Pak Dedi,H 1234 CD,Warung Lesehan Berkah,10000.0,289061.0,0.0,Pemasukan,289061.0,Pembayaran lunas
150.0,2024-07-20,Pak Joko,H 2222 BB,Toko Sumber Rejeki,8000.0,383832.0,0.0,Pemasukan,383832.0,Pembayaran lunas
151.0,2024-07-20,Pak Slamet,H 4444 DD,Warung Makan Sari Rasa,10000.0,304836.0,0.0,Pemasukan,304836.0,Pembayaran lunas
152.0,2024-07-21,Pak Eko,H 1111 AA,Toko Sumber Rejeki,10000.0,320247.0,0.0,Pemasukan,320247.0,Pembayaran lunas
153.0,2024-07-21,Pak Hendra,H 1111 AA,Warung Bu Darmi,8000.0,339311.0,0.0,Pemasukan,339311.0,Pembayaran lunas
154.0,2024-07-22,Pak Slamet,H 1234 CD,Warung Makan Sari Rasa,8000.0,306463.0,0.0,Pemasukan,306463.0,Pembayaran lunas
155.0,2024-07-22,Pak Eko,H 3333 CC,Servis Mesin,8400.0,0.0,163291.0,Pengeluaran,-163291.0,Biaya servis mesin
156.0,2024-07-22,Pak Hendra,H 5678 XY,Depot Air Segar,6000.0,383781.0,0.0,Pemasukan,383781.0,Pembayaran lunas
157.0,2024-07-22,Pak Hendra,H 4444 DD,Depot Tirta Jaya,8000.0,298387.0,0.0,Pemasukan,298387.0,Pembayaran lunas
158.0,2024-07-23,Pak Rudi,H 3333 CC,Cuci Truk,8400.0,0.0,119426.0,Pengeluaran,-119426.0,Biaya cuci truk
159.0,2024-07-23,Pak Rudi,H 1111 AA,Warung Makan Sari Rasa,10000.0,325449.0,0.0,Pemasukan,325449.0,Pembayaran lunas
160.0,2024-07-24,Pak Rudi,H 2222 BB,Warung Bu Darmi,8000.0,290357.0,0.0,Pemasukan,290357.0,Pembayaran lunas
161.0,2024-07-24,Pak Andi,H 1234 CD,Warung Bu Darmi,10000.0,309190.0,0.0,Pemasukan,309190.0,Pembayaran lunas
162.0,2024-07-25,Pak Budi,H 3333 CC,Depot Air Segar,10000.0,397523.0,0.0,Pemasukan,397523.0,Pembayaran lunas
163.0,2024-07-25,Pak Eko,H 1234 CD,Isi Solar,8400.0,0.0,215924.0,Pengeluaran,-215924.0,Biaya isi solar
164.0,2024-07-25,Pak Dedi,H 3333 CC,Depot Tirta Jaya,6000.0,390732.0,0.0,Pemasukan,390732.0,Pembayaran lunas
165.0,2024-07-26,Pak Joko,H 5678 XY,Warung Makan Sari Rasa,6000.0,304553.0,0.0,Pemasukan,304553.0,Pembayaran lunas
166.0,2024-07-26,Pak Slamet,H 1111 AA,Warung Lesehan Berkah,6000.0,365760.0,0.0,Pemasukan,365760.0,Pembayaran lunas
167.0,2024-07-26,Pak Joko,H 5678 XY,Ganti Oli,8400.0,0.0,183554.0,Pengeluaran,-183554.0,Biaya ganti oli
168.0,2024-07-26,Pak Hendra,H 1234 CD,Isi Solar,8400.0,0.0,181193.0,Pengeluaran,-181193.0,Biaya isi solar
169.0,2024-07-27,Pak Joko,H 3333 CC,Cuci Truk,8400.0,0.0,52971.0,Pengeluaran,-52971.0,Biaya cuci truk
170.0,2024-07-27,Pak Joko,H 3333 CC,Warung Makan Sari Rasa,10000.0,362310.0,0.0,Pemasukan,362310.0,Pembayaran lunas
171.0,2024-07-27,Pak Hendra,H 5678 XY,Perbaikan Ban,8400.0,0.0,209507.0,Pengeluaran,-209507.0,Biaya perbaikan ban
172.0,2024-07-28,Pak Slamet,H 5678 XY,Toko Sumber Rejeki,10000.0,365856.0,0.0,Pemasukan,365856.0,Pembayaran lunas
173.0,2024-07-28,Pak Dedi,H 2222 BB,Depot Air Sehat,10000.0,332775.0,0.0,Pemasukan,332775.0,Pembayaran lunas
174.0,2024-07-28,Pak Andi,H 1111 AA,Cuci Truk,8400.0,0.0,199020.0,Pengeluaran,-199020.0,Biaya cuci truk
175.0,2024-07-29,Pak Andi,H 2222 BB,Toko Maju Jaya,8000.0,352008.0,0.0,Pemasukan,352008.0,Pembayaran lunas
176.0,2024-07-29,Pak Rudi,H 2222 BB,Servis Mesin,8400.0,0.0,128723.0,Pengeluaran,-128723.0,Biaya servis mesin
177.0,2024-07-30,Pak Slamet,H 2222 BB,Depot Air Sehat,8000.0,326711.0,0.0,Pemasukan,326711.0,Pembayaran lunas
178.0,2024-07-30,Pak Joko,H 5678 XY,Toko Sumber Rejeki,10000.0,390321.0,0.0,Pemasukan,390321.0,Pembayaran lunas
179.0,2024-07-30,Pak Hendra,H 1111 AA,Toko Sumber Rejeki,10000.0,322572.0,0.0,Pemasukan,322572.0,Pembayaran lunas
180.0,2024-07-30,Pak Slamet,H 2222 BB,Toko Maju Jaya,10000.0,376984.0,0.0,Pemasukan,376984.0,Pembayaran lunas
181.0,2024-07-31,Pak Eko,H 3333 CC,Depot Air Segar,6000.0,373368.0,0.0,Pemasukan,373368.0,Pembayaran lunas
182.0,2024-07-31,Pak Andi,H 1234 CD,Isi Solar,8400.0,0.0,146077.0,Pengeluaran,-146077.0,Biaya isi solar
183.0,2024-07-31,Pak Rudi,H 1234 CD,Warung Makan Sari Rasa,10000.0,349693.0,0.0,Pemasukan,349693.0,Pembayaran lunas
184.0,2024-08-01,Pak Andi,H 4444 DD,Depot Air Sehat,10000.0,326240.0,0.0,Pemasukan,326240.0,Pembayaran lunas
185.0,2024-08-01,Pak Eko,H 4444 DD,Isi Solar,8400.0,0.0,87871.0,Pengeluaran,-87871.0,Biaya isi solar
186.0,2024-08-01,Pak Hendra,H 1234 CD,Warung Lesehan Berkah,6000.0,361471.0,0.0,Pemasukan,361471.0,Pembayaran lunas
187.0,2024-08-01,Pak Joko,H 4444 DD,Isi Solar,8400.0,0.0,66477.0,Pengeluaran,-66477.0,Biaya isi solar
188.0,2024-08-02,Pak Eko,H 5678 XY,Warung Bu Darmi,10000.0,393101.0,0.0,Pemasukan,393101.0,Pembayaran lunas
